epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1419.13,0.35613,0.51051,0.50553,0.8311,0.99948,0.99973,0.99466,0.96557,0.99936,0.9996,0.99451,0.94117,0.24749,0.35847,0.24099,0.78503,0.0033319,0.0033319,0.0033319
2,2833.33,0.35015,0.42867,0.27541,0.82649,0.99927,0.99955,0.99478,0.96918,0.99916,0.99944,0.99476,0.93918,0.24779,0.37045,0.17384,0.79123,0.00650027,0.00650027,0.00650027
3,3992.19,0.34699,0.43239,0.2438,0.82799,0.99918,0.99969,0.99478,0.96981,0.99897,0.99951,0.99476,0.93831,0.24456,0.38138,0.16911,0.79215,0.00950364,0.00950364,0.00950364
4,5211.02,0.32908,0.40571,0.21592,0.82519,0.99926,0.9998,0.99466,0.97974,0.99916,0.99971,0.99466,0.95307,0.23079,0.3448,0.13927,0.78923,0.0092575,0.0092575,0.0092575
5,6308.87,0.30603,0.39323,0.192,0.82153,0.99922,0.99972,0.99475,0.98111,0.99909,0.99961,0.99474,0.95751,0.22749,0.34347,0.13052,0.78838,0.00901,0.00901,0.00901
6,7418.39,0.2942,0.38554,0.17965,0.81877,0.99943,0.99971,0.99475,0.98275,0.99934,0.99962,0.99473,0.96086,0.21794,0.33384,0.12539,0.78674,0.0087625,0.0087625,0.0087625
7,8568.05,0.28586,0.3794,0.17206,0.8167,0.99952,0.99971,0.99476,0.98376,0.99937,0.99956,0.99474,0.95982,0.21346,0.32932,0.12137,0.78607,0.008515,0.008515,0.008515
8,9763.84,0.27836,0.37402,0.16517,0.81554,0.99946,0.99971,0.99476,0.98457,0.99939,0.99964,0.99474,0.9616,0.20819,0.32193,0.11488,0.78496,0.0082675,0.0082675,0.0082675
9,10857.2,0.27279,0.36904,0.16062,0.81387,0.99952,0.99984,0.99471,0.98445,0.99945,0.99976,0.99467,0.96322,0.2072,0.32049,0.11253,0.78411,0.00802,0.00802,0.00802
10,11958.6,0.26813,0.3658,0.15706,0.81367,0.99945,0.99975,0.99477,0.98548,0.9994,0.99969,0.99474,0.96384,0.20308,0.31729,0.11148,0.78417,0.0077725,0.0077725,0.0077725
11,13103.2,0.26438,0.36224,0.15435,0.81252,0.99941,0.99973,0.99476,0.98571,0.99934,0.99965,0.99474,0.96422,0.20033,0.31401,0.10715,0.78341,0.007525,0.007525,0.007525
12,14268.8,0.26162,0.35986,0.15131,0.81163,0.99944,0.99976,0.99478,0.98589,0.99934,0.99976,0.99476,0.96478,0.1986,0.31109,0.10616,0.78327,0.0072775,0.0072775,0.0072775
13,15341,0.25843,0.35662,0.1485,0.81149,0.99949,0.99984,0.99481,0.98612,0.99943,0.99978,0.9948,0.96528,0.19719,0.30945,0.10352,0.78237,0.00703,0.00703,0.00703
