epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,970.638,0.31898,0.47825,0.5148,0.82369,0.99703,1,0.99442,0.97431,0.99703,1,0.99442,0.94436,0.23275,0.34904,0.27289,0.79305,0.00333139,0.00333139,0.00333139
2,1853.88,0.32087,0.38763,0.27272,0.81961,0.9976,1,0.99378,0.97952,0.9976,1,0.99378,0.94913,0.21197,0.33199,0.18898,0.80102,0.00649977,0.00649977,0.00649977
3,2873.33,0.32013,0.39779,0.23959,0.82143,0.99705,0.99932,0.99492,0.98093,0.99705,0.99932,0.99492,0.94962,0.21411,0.3626,0.15146,0.80146,0.00950315,0.00950315,0.00950315
4,3824.8,0.29973,0.36803,0.20942,0.81812,0.997,1,0.99462,0.98566,0.997,1,0.99462,0.96118,0.19723,0.31909,0.12596,0.7957,0.0092575,0.0092575,0.0092575
5,4761.69,0.27366,0.35295,0.18392,0.81203,0.99692,1,0.9945,0.98742,0.99692,1,0.9945,0.9671,0.19114,0.30954,0.11734,0.79485,0.00901,0.00901,0.00901
6,5559.83,0.26044,0.3471,0.16986,0.80906,0.99651,0.99997,0.99463,0.98891,0.99651,0.99997,0.99463,0.96788,0.18723,0.31362,0.11265,0.79286,0.0087625,0.0087625,0.0087625
7,6257.7,0.25241,0.34321,0.16134,0.80749,0.99728,1,0.99468,0.98909,0.99728,1,0.99468,0.96915,0.1829,0.30996,0.10877,0.79222,0.008515,0.008515,0.008515
8,7013.82,0.24655,0.33849,0.15479,0.80623,0.99758,0.9993,0.99456,0.98879,0.99758,0.9993,0.99456,0.96941,0.18032,0.30217,0.10574,0.79138,0.0082675,0.0082675,0.0082675
9,7768.78,0.24211,0.33531,0.15115,0.80499,0.99758,0.99932,0.99465,0.98954,0.99758,0.99932,0.99465,0.97036,0.17966,0.29996,0.10198,0.79126,0.00802,0.00802,0.00802
10,8460.03,0.23815,0.33249,0.14674,0.8049,0.99758,0.99932,0.99455,0.9905,0.99758,0.99932,0.99455,0.97116,0.17658,0.29708,0.10154,0.79007,0.0077725,0.0077725,0.0077725
11,9146.58,0.23445,0.33028,0.14357,0.8043,0.99722,1,0.99464,0.99032,0.99722,1,0.99464,0.97036,0.17479,0.29494,0.09875,0.78938,0.007525,0.007525,0.007525
12,9825.49,0.23206,0.32822,0.14078,0.80333,0.99729,1,0.99453,0.99012,0.9973,1,0.99453,0.97155,0.17432,0.29457,0.09625,0.78896,0.0072775,0.0072775,0.0072775
13,10502.7,0.23042,0.3262,0.13982,0.80286,0.99817,0.99932,0.9946,0.99071,0.99817,0.99932,0.9946,0.97097,0.16942,0.28944,0.09307,0.78785,0.00703,0.00703,0.00703
14,11210.8,0.22779,0.32545,0.13643,0.80241,0.99816,0.99932,0.99469,0.99,0.99816,0.99932,0.99469,0.97173,0.17184,0.29084,0.09393,0.78837,0.0067825,0.0067825,0.0067825
15,11895,0.22574,0.32347,0.13373,0.80143,0.99697,1,0.99449,0.99059,0.99697,1,0.99449,0.97302,0.16946,0.28651,0.09204,0.78787,0.006535,0.006535,0.006535
16,12570.7,0.22296,0.32171,0.13224,0.8015,0.99759,1,0.99469,0.99114,0.99759,1,0.99469,0.97284,0.16832,0.28553,0.09107,0.78737,0.0062875,0.0062875,0.0062875
17,13245.2,0.22096,0.3185,0.13058,0.80108,0.99731,1,0.99471,0.99114,0.99731,1,0.99471,0.9731,0.16711,0.28394,0.08844,0.78737,0.00604,0.00604,0.00604
18,13916.7,0.21807,0.31676,0.12767,0.80095,0.99817,1,0.99462,0.99075,0.99817,1,0.99462,0.97281,0.16597,0.28193,0.08756,0.78699,0.0057925,0.0057925,0.0057925
19,14598.4,0.21651,0.3146,0.12629,0.79997,0.99763,1,0.99473,0.99121,0.99763,1,0.99473,0.9741,0.16507,0.28228,0.08721,0.78711,0.005545,0.005545,0.005545
20,15298.5,0.21511,0.31391,0.12447,0.80039,0.997,1,0.99477,0.99119,0.997,1,0.99477,0.97447,0.16469,0.28008,0.087,0.78706,0.0052975,0.0052975,0.0052975
21,16083.8,0.21335,0.3114,0.1228,0.79984,0.99839,1,0.99471,0.99115,0.99839,1,0.99471,0.97362,0.16512,0.27848,0.08606,0.78672,0.00505,0.00505,0.00505
22,16811.8,0.21277,0.31169,0.12301,0.79941,0.99817,1,0.99488,0.9917,0.99817,1,0.99488,0.97484,0.16308,0.27692,0.08506,0.78639,0.0048025,0.0048025,0.0048025
23,17618.1,0.21044,0.30945,0.1207,0.79936,0.99754,1,0.99462,0.99131,0.99754,1,0.99462,0.97463,0.16272,0.27599,0.08473,0.78606,0.004555,0.004555,0.004555
24,18347.1,0.20984,0.30906,0.11851,0.79933,0.99812,1,0.99473,0.99147,0.99812,1,0.99473,0.9748,0.16322,0.27659,0.08397,0.78619,0.0043075,0.0043075,0.0043075
25,19092.9,0.20864,0.30753,0.11758,0.79966,0.99848,0.99942,0.99482,0.99169,0.99848,0.99942,0.99482,0.97551,0.16153,0.27527,0.08285,0.78597,0.00406,0.00406,0.00406
26,19824.9,0.2065,0.30553,0.1169,0.79898,0.99869,0.99942,0.99482,0.99163,0.99869,0.99942,0.99482,0.97509,0.1613,0.27465,0.08222,0.78592,0.0038125,0.0038125,0.0038125
27,20497.8,0.20587,0.30465,0.11485,0.79853,0.99804,0.99942,0.99486,0.99171,0.99804,0.99942,0.99486,0.97541,0.16105,0.27372,0.08206,0.78578,0.003565,0.003565,0.003565
28,21174.2,0.20447,0.30374,0.11344,0.79823,0.99796,0.9994,0.99486,0.99194,0.99796,0.9994,0.99486,0.97572,0.16039,0.27289,0.08172,0.78562,0.0033175,0.0033175,0.0033175
29,21864.3,0.20328,0.30183,0.11275,0.79826,0.9978,0.99932,0.99491,0.99192,0.9978,0.99932,0.99491,0.97606,0.1602,0.27247,0.0816,0.78549,0.00307,0.00307,0.00307
